                   1                   1                   1
              133334              134743              131906
              266668              272261              260913
              400001              412493              386966
              533334              555375              510006
              666668              700844              629977
              800001              848832              746826
              933334              999273              860500
         1.06667e+06          1.1521e+06              970947
             1.2e+06         1.30724e+06         1.07812e+06
         1.33333e+06         1.46463e+06         1.18196e+06
         1.46667e+06         1.62419e+06         1.28243e+06
             1.6e+06         1.78585e+06         1.37949e+06
         1.73333e+06         1.94954e+06         1.47308e+06
         1.86667e+06         2.11519e+06         1.56317e+06
               2e+06         2.28271e+06         1.64971e+06
         2.13333e+06         2.45204e+06         1.73267e+06
         2.26667e+06         2.62309e+06         1.81201e+06
             2.4e+06          2.7958e+06         1.88769e+06
         2.53333e+06         2.97007e+06         1.95967e+06
         2.66667e+06         3.14584e+06         2.02794e+06
             2.8e+06         3.32302e+06         2.09244e+06
         2.93333e+06         3.50154e+06         2.15317e+06
         3.06667e+06          3.6813e+06         2.21008e+06
             3.2e+06         3.86224e+06         2.26315e+06
         3.33333e+06         4.04426e+06         2.31236e+06
         3.46667e+06         4.22729e+06         2.35768e+06
             3.6e+06         4.41124e+06          2.3991e+06
         3.73333e+06         4.59603e+06          2.4366e+06
         3.86667e+06         4.78158e+06         2.47016e+06
               4e+06          4.9678e+06         2.49976e+06
         4.13333e+06         5.15461e+06         2.52539e+06
         4.26667e+06         5.34192e+06         2.54704e+06
             4.4e+06         5.52965e+06          2.5647e+06
         4.53333e+06         5.71771e+06         2.57836e+06
         4.66667e+06         5.90602e+06         2.58802e+06
             4.8e+06          6.0945e+06         2.59367e+06
         4.93333e+06         6.28305e+06         2.59531e+06
         5.06667e+06         6.47159e+06         2.59293e+06
             5.2e+06         6.66004e+06         2.58654e+06
         5.33333e+06         6.84831e+06         2.57615e+06
         5.46667e+06         7.03632e+06         2.56175e+06
             5.6e+06         7.22398e+06         2.54335e+06
         5.73333e+06          7.4112e+06         2.52096e+06
         5.86667e+06         7.59791e+06          2.4946e+06
               6e+06         7.78401e+06         2.46427e+06
         6.13333e+06         7.96943e+06         2.42998e+06
         6.26667e+06         8.15407e+06         2.39176e+06
             6.4e+06         8.33786e+06         2.34962e+06
         6.53333e+06         8.52071e+06         2.30357e+06
         6.66667e+06         8.70254e+06         2.25365e+06
             6.8e+06         8.88327e+06         2.19987e+06
         6.93333e+06         9.06281e+06         2.14225e+06
         7.06667e+06         9.24108e+06         2.08083e+06
             7.2e+06         9.41801e+06         2.01563e+06
         7.33333e+06          9.5935e+06         1.94668e+06
         7.46667e+06          9.7675e+06         1.87401e+06
             7.6e+06          9.9399e+06         1.79765e+06
         7.73333e+06         1.01106e+07         1.71764e+06
         7.86667e+06         1.02796e+07         1.63402e+06
               8e+06         1.04468e+07         1.54682e+06
         8.13333e+06         1.06121e+07         1.45608e+06
         8.26667e+06         1.07754e+07         1.36185e+06
             8.4e+06         1.09367e+07         1.26416e+06
         8.53333e+06         1.10959e+07         1.16306e+06
         8.66667e+06         1.12529e+07          1.0586e+06
             8.8e+06         1.14076e+07              950825
         8.93333e+06           1.156e+07              839780
         9.06667e+06           1.171e+07              725516
             9.2e+06         1.18575e+07              608087
         9.33333e+06         1.20025e+07              487546
         9.46667e+06         1.21449e+07              363946
